Category,Subcategory,SKU,ItemName,VendorName,YourPrice,BenchmarkPrice,UnitsPerYear,AnnualSpend,PriceIndex,SavingsOpportunity,CategoryStatus
Cardiology,Stents & Catheters,CRT-9920,Drug Eluting Stent - 15mm,Boston Scientific,2850.00,2200.00,450,1282500.00,1.30,292500.00,High Variance
Cardiology,Stents & Catheters,CRT-9921,PTCA Balloon Catheter,Medtronic,1650.00,1400.00,680,1122000.00,1.18,170000.00,Above Market
Cardiology,Stents & Catheters,CRT-9922,Guide Catheter 6F,Abbott Vascular,890.00,850.00,920,818800.00,1.05,36800.00,Above Market
Cardiology,Stents & Catheters,CRT-9923,Coronary Guidewire,Boston Scientific,425.00,380.00,1250,531250.00,1.12,56250.00,Above Market
Cardiology,Pacemakers,CRT-8801,Dual Chamber Pacemaker,Medtronic,4200.00,3200.00,180,756000.00,1.31,180000.00,High Variance
Cardiology,Pacemakers,CRT-8802,Single Chamber Pacemaker,Abbott Medical,3100.00,2800.00,220,682000.00,1.11,66000.00,Above Market
Cardiology,Imaging,CRT-7701,Intravascular Ultrasound Catheter,Boston Scientific,1850.00,1500.00,340,629000.00,1.23,119000.00,High Variance
Cardiology,Imaging,CRT-7702,FFR Pressure Wire,Philips Healthcare,980.00,920.00,480,470400.00,1.07,28800.00,Above Market
Cardiology,Closure Devices,CRT-6601,Vascular Closure Device,Terumo Medical,650.00,580.00,890,578500.00,1.12,62300.00,Above Market
Cardiology,Closure Devices,CRT-6602,Hemostasis Valve,Merit Medical,280.00,270.00,1450,406000.00,1.04,14500.00,Market Par
Cardiology,Diagnostic,CRT-5501,Diagnostic Catheter 5F,Cordis Medical,520.00,500.00,780,405600.00,1.04,15600.00,Market Par
Cardiology,Diagnostic,CRT-5502,Introducer Sheath 6F,Cook Medical,195.00,200.00,2100,409500.00,0.98,0.00,Below Market
Cardiology,Accessories,CRT-4401,Y-Connector Manifold,Smiths Medical,85.00,90.00,3200,272000.00,0.94,0.00,Below Market
Cardiology,Accessories,CRT-4402,Contrast Media Injection System,Medrad,1250.00,1280.00,240,300000.00,0.98,0.00,Below Market
Orthopedics,Implants,ORT-5510,Total Knee Replacement System,Zimmer Biomet,4500.00,4400.00,320,1440000.00,1.02,32000.00,Market Par
Orthopedics,Implants,ORT-5511,Hip Stem Implant,Stryker,3800.00,3750.00,280,1064000.00,1.01,14000.00,Market Par
Orthopedics,Implants,ORT-5512,Acetabular Cup,DePuy Synthes,2900.00,2850.00,290,841000.00,1.02,14500.00,Market Par
Orthopedics,Implants,ORT-5513,Spinal Fusion Cage,Medtronic,3200.00,3100.00,210,672000.00,1.03,21000.00,Market Par
Orthopedics,Implants,ORT-5514,Intramedullary Nail,Smith & Nephew,2100.00,2050.00,380,798000.00,1.02,19000.00,Market Par
Orthopedics,Implants,ORT-5515,Bone Plate System,Stryker,1850.00,1820.00,450,832500.00,1.02,13500.00,Market Par
Orthopedics,Instruments,ORT-4420,Surgical Drill System,Zimmer Biomet,4200.00,4100.00,85,357000.00,1.02,8500.00,Market Par
Orthopedics,Instruments,ORT-4421,Bone Saw Electric,Stryker,3500.00,3450.00,90,315000.00,1.01,4500.00,Market Par
